Date,Open,High,Low,Close
01/04/2024,"21,605.80","21,685.65","21,564.55","21,658.60"
01/03/2024,"21,661.10","21,677.00","21,500.35","21,517.35"
01/02/2024,"21,751.35","21,755.60","21,555.65","21,665.80"
01/01/2024,"21,727.75","21,834.35","21,680.85","21,741.90"
12/29/2023,"21,737.65","21,770.30","21,676.90","21,731.40"
12/28/2023,"21,715.00","21,801.45","21,678.00","21,778.70"
12/27/2023,"21,497.65","21,675.75","21,495.80","21,654.75"
12/26/2023,"21,365.20","21,477.15","21,329.45","21,441.35"
12/22/2023,"21,295.85","21,390.50","21,232.45","21,349.40"
12/21/2023,"21,033.95","21,288.35","20,976.80","21,255.05"
12/20/2023,"21,543.50","21,593.00","21,087.35","21,150.15"
12/19/2023,"21,477.65","21,505.05","21,337.75","21,453.10"
12/18/2023,"21,434.80","21,482.80","21,365.35","21,418.65"
12/15/2023,"21,287.45","21,492.30","21,235.30","21,456.65"
12/14/2023,"21,110.40","21,210.90","21,074.45","21,182.70"
12/13/2023,"20,929.75","20,950.00","20,769.50","20,926.35"
12/12/2023,"21,018.55","21,037.90","20,867.15","20,906.40"
12/11/2023,"20,965.30","21,026.10","20,923.70","20,997.10"
12/08/2023,"20,934.10","21,006.10","20,862.70","20,969.40"
12/07/2023,"20,932.40","20,941.25","20,850.80","20,901.15"
12/06/2023,"20,950.75","20,961.95","20,852.15","20,937.70"
12/05/2023,"20,808.90","20,864.05","20,711.15","20,855.10"
